Response ID,"To begin, please tell us which of these is true for your housing during the 2022-2023 academic year?",Do you have someone at CU Boulder you consider a mentor?,What is your likelihood of returning to CU Boulder in fall 2023?,How do you describe your race/ethnicity? Please select all that apply. - Selected Choice,Are you currently receiving financial aid? (Select all that apply),Entry_Type,FirstGen_Status,School_College,Please indicate your level of agreement with each of the following statements. - I belong at CU Boulder.,Please indicate your level of agreement with each of the following statements. - I fit in well at CU Boulder.,Please indicate your level of agreement with each of the following statements. - People at CU Boulder accept me.,Please indicate your level of agreement with each of the following statements. - I feel a connection with the CU Boulder community.,Please indicate your level of agreement with each of the following statements. - People on campus are generally supportive of my individual needs.,Please indicate your level of agreement with each of the following statements. - There are people on campus who are genuinely interested in me as a person.,Please indicate your level of agreement with each of the following statements. - There are people on campus who care about my future.
R_2498nIh0VWLsUoB,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree
R_3oAVDAUGuXRjhcz,I lived in housing provided by CU for the entire year,Yes,Certain,Prefer not to state,Prefer not to state,F,0,Leeds School of Business UGRD,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Disagree,Agree,Slightly disagree
R_x5k91P54w8pC0Sd,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Slightly agree
R_1GDrwWcIAWaqeuH,I lived in housing provided by CU for the entire year,Yes,Certain,"Asian or Asian American,White or European American",No,F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree
R_tXaeh4ViSfr98ul,I lived in housing provided by CU for the entire year,No,Certain,Asian or Asian American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Agree
R_2CpLFkTkPz6DG67,I lived in housing provided by CU for the entire year,Not sure,Almost certain,"Hispanic, Latin/a/o/x, or Spanish Origin","Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,,Slightly disagree,Slightly disagree,Slightly disagree,,Slightly agree,
R_TpkhLUe3u0UN89X,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,No,F,0,Coll Engineering & AppSci UGRD,Agree,Slightly disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree
R_2U6pzYTXO4sn3l1,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,"Yes, scholarships and/or grants",F,0,Program in Exploratory Studies,Agree,Agree,Agree,Slightly agree,Strongly agree,Agree,Strongly agree
R_29gdHeO9aCU8Oza,I did not live in housing provided by CU this year,Yes,Certain,Black or African American,No,T,0,Leeds School of Business UGRD,Agree,Agree,Agree,Slightly agree,Agree,Agree,Strongly agree
R_3EEbLQYN8DW8Q8R,I lived in housing provided by CU for the entire year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American","Yes, federal loans (through Department of Education)",F,1,Program in Exploratory Studies,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_3DjpNTGMVHattHR,I lived in housing provided by CU for the entire year,No,Certain,Asian or Asian American,Not sure,F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Slightly disagree,Agree,Agree
R_r1PCu0oeufWkYAV,I did not live in housing provided by CU this year,No,Certain,White or European American,"Yes, federal loans (through Department of Education)",T,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree
R_3rTBHOfXnvxxzdC,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree
R_yF5eotYkQpIaXKx,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,"Yes, federal loans (through Department of Education)",F,0,Program in Exploratory Studies,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_22RdfbULMijia6m,I lived in housing provided by CU for the entire year,No,Likely,White or European American,No,F,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Disagree,Strongly agree,Agree
R_2TSR7tBVKu0LyGm,I lived in housing provided by CU for the entire year,Yes,Certain,Asian or Asian American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,Pgm Environmental Design UGRD,Slightly agree,Strongly agree,Slightly agree,Agree,Agree,Agree,Slightly agree
R_2VkaSJm2ZYghv4V,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree
R_3DUwcHGxZM7T249,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,Program in Exploratory Studies,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_3qDvQyOzBmvvI1E,I lived in housing provided by CU for the entire year,Yes,Certain,Asian or Asian American,"Yes, private loans (through a bank or private lender)",F,0,College Arts & Sciences UGRD,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Agree
R_1qgMziTYUK1XJUN,I lived in housing provided by CU for the entire year,No,Certain,White or European American,,F,0,College Arts & Sciences UGRD,Agree,Agree,Slightly agree,Agree,Slightly agree,Agree,Slightly agree
R_XpuctIavPhKeBGN,I did not live in housing provided by CU this year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin","Yes, scholarships and/or grants",F,1,College Arts & Sciences UGRD,Agree,Agree,Agree,Disagree,Slightly agree,Slightly disagree,Agree
R_3qQYx3kODpU1AgH,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_2XczWaUDuAelVkC,I lived in housing provided by CU for the entire year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American","Yes, scholarships and/or grants",F,0,School of Education UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_3pigzzTMGMQEDfD,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_33dtWW0FTv10dAd,I lived in housing provided by CU for part of the year,No,Likely,White or European American,No,F,0,College Arts & Sciences UGRD,,Slightly agree,,Slightly disagree,Slightly agree,,Disagree
R_1Eibda3zt0nodMt,I lived in housing provided by CU for the entire year,No,Likely,White or European American,"Yes, federal loans (through Department of Education)",F,0,Program in Exploratory Studies,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree
R_1PedLzVIYVMhXkI,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,Leeds School of Business UGRD,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree
R_2rCPtfz2isVjlho,I lived in housing provided by CU for the entire year,No,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American",No,F,0,Program in Exploratory Studies,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree
R_1FnNwLXG2PUoC15,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_0dBBunQbNv6uacx,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
R_3h6GL5hc36Ggv4n,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,1,"Coll of Media,Comm&Info UGRD",Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree
R_1eyo154KA1ogt9N,I lived in housing provided by CU for the entire year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin","Yes, scholarships and/or grants",F,1,College Arts & Sciences UGRD,Agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree
R_22KzBYao2bhyNvb,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,T,0,Pgm Environmental Design UGRD,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
R_9H4rCMmCBlPdCTL,I lived in housing provided by CU for the entire year,No,Almost certain,Middle Eastern or North African,No,F,0,Program in Exploratory Studies,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree
R_rcijPTDqP0IhhpT,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Coll Engineering & AppSci UGRD,Agree,Slightly agree,Agree,Agree,Agree,Agree,Agree
R_cvc5ChkX3MGWV6p,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_D0moXrEWI647XCp,I did not live in housing provided by CU this year,No,Almost certain,White or European American,No,T,0,Coll Engineering & AppSci UGRD,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree
R_2CvKk9dEg0iVQdY,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,College Arts & Sciences UGRD,Agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Disagree,Slightly disagree
R_22naa0E7KRtWUFy,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,"Coll of Media,Comm&Info UGRD",Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_1kMIYuU9gzfxMCy,I lived in housing provided by CU for the entire year,Yes,Almost certain,Prefer not to state,"Yes, scholarships and/or grants",F,0,Leeds School of Business UGRD,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Agree,Agree
R_3OdHzx7LeltmhF1,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,Program in Exploratory Studies,Agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Agree
R_2WZjFQmH97y72WG,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Slightly agree,Agree,Agree,Agree
R_8l9aecNaHR5t2sF,I lived in housing provided by CU for the entire year,Yes,Almost certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_2WAs5AlysShDN0G,I did not live in housing provided by CU this year,Yes,Certain,White or European American,"Yes, federal loans (through Department of Education)",T,0,"Coll of Media,Comm&Info UGRD",Strongly agree,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree
R_a8XJwq10sf7rmXD,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,"Coll of Media,Comm&Info UGRD",Slightly agree,Slightly agree,Slightly disagree,Agree,Slightly agree,Agree,Agree
R_2fCpe4Yz8R1KChP,I lived in housing provided by CU for the entire year,Yes,Certain,"Asian or Asian American,White or European American","Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Coll Engineering & AppSci UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree
R_sMZSqBgvnwewjFD,I did not live in housing provided by CU this year,No,Certain,Black or African American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",T,1,Coll Engineering & AppSci UGRD,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree
R_2xQ3Tnn2Vl2PHe8,I did not live in housing provided by CU this year,No,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American",No,T,1,College Arts & Sciences UGRD,Slightly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree
R_3JruAYwI6Lp1iaW,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Program in Exploratory Studies,Agree,Agree,Agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree
R_2RWK4LQxmkZjLtg,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree
R_2upTnfb3CUnqww5,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,College Arts & Sciences UGRD,Agree,,Slightly agree,Agree,Strongly agree,Slightly agree,Agree
R_3iVHxOXTyCi0Gbq,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree
R_3dRie07SzrD1DQH,I lived in housing provided by CU for the entire year,Yes,Certain,Prefer not to state,Prefer not to state,F,0,College Arts & Sciences UGRD,Strongly agree,Agree,Slightly agree,Strongly agree,Agree,Strongly agree,Agree
R_5psJkbc2SxlvNx7,I lived in housing provided by CU for the entire year,Yes,Almost certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree
R_b3fn66Vxqz5UcFP,I lived in housing provided by CU for the entire year,No,Almost certain,"Hispanic, Latin/a/o/x, or Spanish Origin","Yes, scholarships and/or grants",F,1,College Arts & Sciences UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_1rGqO4zw5LQWzbF,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,No,F,0,College Arts & Sciences UGRD,,Disagree,Slightly agree,,Slightly agree,Slightly agree,Agree
R_2c0p6yHtEF5x1ZV,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_3kw9sjF1VACd9PL,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,No,F,0,"Coll of Media,Comm&Info UGRD",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_3MmUK18PXCXfhmF,I lived in housing provided by CU for the entire year,Yes,Certain,"Middle Eastern or North African,White or European American",No,F,0,College Arts & Sciences UGRD,Agree,Strongly agree,Strongly agree,,Agree,Agree,Agree
R_RCyv5utwFtvJXH3,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,Leeds School of Business UGRD,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree
R_21jnHNMsUJImBa1,I lived in housing provided by CU for part of the year,No,Likely,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American","Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree
R_25YeHASpo8ZYH1U,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Leeds School of Business UGRD,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree
R_Z3p6MdrhFMxu0vv,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,"Coll of Media,Comm&Info UGRD",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
R_Ti4C9V7CszzLojL,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,"Yes, scholarships and/or grants",T,0,Leeds School of Business UGRD,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree
R_21tTv8GRHubQ4e2,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,Not sure,F,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Slightly agree
R_2dSeIkLZSXfuMiN,I did not live in housing provided by CU this year,No,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American","Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",T,1,College Arts & Sciences UGRD,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree
R_3lRl9vDZjZ9lSko,I lived in housing provided by CU for the entire year,Not sure,Possible,"Hispanic, Latin/a/o/x, or Spanish Origin",No,F,1,Program in Exploratory Studies,Agree,Agree,Agree,Slightly agree,Agree,Agree,Agree
R_2cc77D5A9fIVkbf,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,Not sure,F,0,College Arts & Sciences UGRD,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree
R_27vqfJhs6Hiqyqt,I did not live in housing provided by CU this year,Yes,Certain,"Hispanic, Latin/a/o/x, or Spanish Origin,White or European American",No,T,0,Coll Engineering & AppSci UGRD,Agree,,,,,,
R_23VPREZCcsign1y,I lived in housing provided by CU for the entire year,No,Unlikely,White or European American,"Yes, federal loans (through Department of Education)",F,0,Program in Exploratory Studies,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree
R_2fk9ALOITa04Uyu,I lived in housing provided by CU for the entire year,No,Certain,Asian or Asian American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,1,College Arts & Sciences UGRD,Agree,Agree,Strongly agree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree
R_2wH4u1o0Ygnm4Lm,I did not live in housing provided by CU this year,Yes,Likely,White or European American,No,F,0,Pgm Environmental Design UGRD,,Slightly agree,Agree,Slightly agree,Agree,Agree,Agree
R_3PmJIAYm4Lv4cmC,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, federal loans (through Department of Education)",F,0,School of Education UGRD,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree
R_2e8yL8wRDSv8nVM,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Strongly agree
R_1QsIlrVz9meK4vJ,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_DAdOcxmrxrCIPT3,I lived in housing provided by CU for part of the year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Slightly agree,Agree,Agree,Agree
R_31zRkNjJYI3tf7i,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Slightly agree,Agree,Agree,Agree,Slightly agree,Agree,Slightly agree
R_5AAlpaH7Qpq6Kgp,I lived in housing provided by CU for the entire year,No,Possible,White or European American,Not sure,F,0,"Coll of Media,Comm&Info UGRD",Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly disagree
R_1ih5Iinv4zlbIHm,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_Bz9i7C0irfsRDsB,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree
R_Wwl8HBSCRwzBM1X,I lived in housing provided by CU for the entire year,No,Likely,White or European American,"Yes, private loans (through a bank or private lender)",F,0,College Arts & Sciences UGRD,Agree,Agree,,Slightly agree,Slightly agree,Slightly agree,
R_vAG75NlAdgVaQdb,I lived in housing provided by CU for the entire year,No,Unlikely,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Slightly disagree,Agree,Agree,Slightly disagree,,Strongly disagree,Slightly disagree
R_VUtLaU78Np9dSTf,I lived in housing provided by CU for the entire year,Not sure,Certain,Prefer not to state,No,F,1,College Arts & Sciences UGRD,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree
R_9QNBnpJzVCtrKMN,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, private loans (through a bank or private lender)",F,1,Leeds School of Business UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
R_w6RndMwYsuxwWWZ,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, federal loans (through Department of Education)",F,0,Program in Exploratory Studies,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree
R_1jSQ8Smy1rdcPPJ,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,Agree,Agree,Agree,Slightly agree,Agree,Slightly agree,Slightly agree
R_247bSb9StosXmb5,I lived in housing provided by CU for the entire year,No,Almost certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,1,College Arts & Sciences UGRD,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree
R_XYEjGEcYX6gg8IV,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Coll Engineering & AppSci UGRD,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Agree,Agree
R_1AIpRJeBzCumC0V,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,Coll Engineering & AppSci UGRD,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Agree
R_2dp8yr85GzWVu59,I lived in housing provided by CU for the entire year,No,Likely,White or European American,No,F,0,"Coll of Media,Comm&Info UGRD",Slightly agree,Disagree,Slightly disagree,Slightly agree,Slightly agree,Agree,Slightly agree
R_1NreO95ZdwKwi5G,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,Leeds School of Business UGRD,Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_XGKDomhce4ljqmd,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,"Coll of Media,Comm&Info UGRD",Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Strongly agree,Strongly agree
R_2z5uZlO6OvPTsSM,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_2QRHZ4fY3fJYFPn,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_XodsJYjvKlrxRf3,I lived in housing provided by CU for the entire year,Not sure,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,0,Program in Exploratory Studies,Agree,Slightly agree,Agree,Slightly agree,Agree,Strongly agree,Agree
R_1hMF07grQizFMjx,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,1,College Arts & Sciences UGRD,Agree,Agree,Agree,Slightly agree,Agree,Slightly agree,Slightly agree
R_3Q0go3AdUnithvC,I lived in housing provided by CU for the entire year,No,Certain,White or European American,No,F,0,"Coll of Media,Comm&Info UGRD",Agree,Agree,Agree,Agree,Agree,Agree,Agree
R_3rNiSYjZewjrmtu,I lived in housing provided by CU for part of the year,Not sure,Likely,Asian or Asian American,"Yes, federal loans (through Department of Education),Yes, private loans (through a bank or private lender)",F,0,Program in Exploratory Studies,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
R_1Q4T2dfWGaKyv3P,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree
R_1lcV8d2NRn6Izto,I did not live in housing provided by CU this year,Not sure,Certain,Asian or Asian American,"Yes, scholarships and/or grants,Yes, private loans (through a bank or private lender)",T,0,Leeds School of Business UGRD,Agree,Agree,Agree,Agree,Slightly agree,Agree,Agree
R_1mgiPi4gwlvaGaY,I lived in housing provided by CU for the entire year,No,Certain,White or European American,"Yes, scholarships and/or grants",F,0,Leeds School of Business UGRD,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree
R_UmwRceBULtytcFb,I lived in housing provided by CU for the entire year,No,Certain,Asian or Asian American,"Yes, federal loans (through Department of Education)",F,0,College Arts & Sciences UGRD,,Slightly disagree,Slightly agree,Slightly disagree,Disagree,Agree,Agree
R_1eY7w6roU1EG3L4,I lived in housing provided by CU for the entire year,No,Certain,"Middle Eastern or North African,White or European American",No,T,0,College Arts & Sciences UGRD,Slightly agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Slightly agree,Agree
R_1oHbAsUhtR2fcPn,I lived in housing provided by CU for the entire year,No,Unlikely,White or European American,Not sure,F,0,"Coll of Media,Comm&Info UGRD",Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Agree,Slightly agree,Slightly disagree
R_2E5nKJ1JWqYT15R,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,"Coll of Media,Comm&Info UGRD",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
R_2PjpnwybTr40y82,I lived in housing provided by CU for the entire year,No,Almost certain,Asian or Asian American,No,F,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree
R_Q9Sq4MQzZ0ult8B,I lived in housing provided by CU for the entire year,No,Almost certain,Black or African American,"Yes, scholarships and/or grants,Yes, federal loans (through Department of Education)",F,1,"Coll of Media,Comm&Info UGRD",,,Slightly disagree,,,,
R_2OMzSAMoQZ0lqVM,I lived in housing provided by CU for the entire year,No,Possible,White or European American,"Yes, scholarships and/or grants,Yes, private loans (through a bank or private lender)",F,1,College of Music UGRD,Strongly disagree,Slightly disagree,Slightly agree,Strongly disagree,Strongly disagree,Slightly agree,Slightly disagree
R_3Hnck8R6mUS65Yc,I lived in housing provided by CU for the entire year,No,Certain,White or European American,Not sure,F,0,Program in Exploratory Studies,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree
R_2RX5X68fycXeitx,I lived in housing provided by CU for the entire year,Yes,Certain,White or European American,No,F,0,Program in Exploratory Studies,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Slightly disagree,Agree
R_1jpkWESjKU06aT6,I lived in housing provided by CU for the entire year,Yes,Almost certain,White or European American,No,F,0,Coll Engineering & AppSci UGRD,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
